Example, Safe, Plcs, Trns, PropSize, R sfty, T sfty, R sfty-int, T sfty-int, R ref, I ref, T ref, R ref-int, I ref-int, T ref-int, R inv, L inv, T inv, R inv-min, MI inv-min, L inv-min, T inv-min, R inv-ref, I inv-ref, L inv-ref, T inv-ref, R inv-ref-min, I inv-ref-min, MI inv-ref-min, L inv-ref-min, T inv-ref-min, R iic, L iic, T iic, R bfc, T bfc, R mist, T mist
rand_lock_p0_vs_satabs.1, -, 29, 42, 1, -, 0.16, -, 0.15, -, 0, 0.26, -, 0, 0.25, -, 0, 0.17, -, 0, 0, 0.15, -, 0, 0, 0.27, -, 0, 0, 0, 0.27, -, , 0.00, -, 0.00, -, 1.39
rand_lock_p0_vs_satabs.2, -, 110, 288, 1, -, 0.35, -, 0.35, -, 0, 0.53, -, 0, 0.53, -, 0, 0.32, -, 0, 0, 0.32, -, 0, 0, 0.55, -, 0, 0, 0, 0.54, -, , 0.04, -, 0.06, -, 131.76
rand_lock_p0_vs_satabs.3, -, 234, 772, 1, -, 0.70, -, 0.71, -, 0, 1.08, -, 0, 1.11, -, 0, 0.63, -, 0, 0, 0.65, -, 0, 0, 1.07, -, 0, 0, 0, 1.08, -, , 1.27, -, 0.44, ERR, 
simple_loop5_vs_satabs.1, -, 31, 48, 1, -, 0.19, -, 0.18, -, 0, 0.25, -, 0, 0.27, -, 0, 0.17, -, 0, 0, 0.18, -, 0, 0, 0.26, -, 0, 0, 0, 0.28, -, , 0.00, -, 0.00, -, 2.04
simple_loop5_vs_satabs.2, -, 93, 484, 1, -, 0.47, -, 0.46, -, 0, 0.74, -, 0, 0.74, -, 0, 0.44, -, 0, 0, 0.44, -, 0, 0, 0.75, -, 0, 0, 0, 0.71, -, , 14.57, -, 0.05, ERR, 
spin2003_vs_satabs.1, -, 27, 34, 1, -, 0.17, -, 0.17, -, 0, 0.23, -, 0, 0.25, -, 0, 0.17, -, 0, 0, 0.16, -, 0, 0, 0.25, -, 0, 0, 0, 0.25, -, , 0.01, -, 0.00, -, 0.93
spin2003_vs_satabs.2, -, 56, 180, 1, -, 0.29, -, 0.29, -, 0, 0.39, -, 1, 0.86, -, 0, 0.27, -, 0, 0, 0.26, -, 0, 0, 0.42, -, 0, 0, 0, 0.41, -, , 0.32, -, 0.00, -, 148.78
stack_cas_p0_vs_satabs.1, -, 41, 70, 1, -, 0.19, -, 0.19, -, 0, 0.29, -, 0, 0.28, -, 0, 0.19, -, 0, 0, 0.19, -, 0, 0, 0.30, -, 0, 0, 0, 0.29, -, , 0.01, -, 0.01, ERR, 
stack_cas_p0_vs_satabs.2, -, 78, 156, 1, -, 0.24, -, 0.25, -, 0, 0.39, -, 0, 0.37, -, 0, 0.24, -, 0, 0, 0.24, -, 0, 0, 0.40, -, 0, 0, 0, 0.39, -, , 0.11, -, 0.00, ERR, 
stack_cas_p0_vs_satabs.3, -, 158, 344, 1, -, 0.38, -, 0.40, -, 0, 0.62, -, 0, 0.60, -, 0, 0.38, -, 0, 0, 0.37, -, 0, 0, 0.62, -, 0, 0, 0, 0.62, -, , 10.72, -, 0.11, ERR, 
stack_lock_p0_vs_satabs.1, -, 37, 58, 1, -, 0.18, -, 0.19, -, 0, 0.27, -, 0, 0.28, -, 0, 0.18, -, 0, 0, 0.19, -, 0, 0, 0.28, -, 0, 0, 0, 0.27, -, , 0.01, -, 0.01, ERR, 
stack_lock_p0_vs_satabs.2, -, 106, 632, 1, -, 0.56, -, 0.59, -, 0, 0.88, -, 0, 0.89, -, 0, 0.53, -, 0, 0, 0.52, -, 0, 0, 0.88, -, 0, 0, 0, 0.88, -, , 40.99, -, 0.15, TO, 100000
szymanski_vs_satabs.1, -, 61, 224, 1, -, 0.28, -, 0.29, -, 0, 0.42, -, 0, 0.44, -, 0, 0.28, -, 0, 0, 0.28, -, 0, 0, 0.46, -, 0, 0, 0, 0.46, -, , 0.09, -, 0.00, -, 57374.15
szymanski_vs_satabs.2, -, 568, 8320, 1, -, 4.55, -, 12.06, -, 0, 7.41, -, 0, 14.35, -, 0, 4.16, -, 0, 0, 4.02, -, 0, 0, 7.27, -, 0, 0, 0, 7.50, TO, , 100000, -, 0.63, MO, 100000
